date,label,title,url
"Tuesday, November 2, 2021",Financial Regulation,"Focus on bank supervision, not just bank regulation",https://www.brookings.edu/research/we-must-focus-on-bank-supervision/
"Tuesday, November 2, 2021",Interactive,Hutchins Center Fiscal Impact Measure,https://www.brookings.edu/interactives/hutchins-center-fiscal-impact-measure/
"Tuesday, November 2, 2021",TechStream,Why China is cracking down on its online fandom obsessed youth,https://www.brookings.edu/techstream/why-china-is-cracking-down-on-its-online-fandom-obsessed-youth/
"Wednesday, November 3, 2021",Children & Families,The relationship between school closures and female labor force participation during the pandemic,https://www.brookings.edu/research/the-relationship-between-school-closures-and-female-labor-force-participation-during-the-pandemic/
"Wednesday, November 3, 2021",Future Development,How the structure of global aid and development finance is changing,https://www.brookings.edu/blog/future-development/2021/11/03/how-the-structure-of-global-aid-and-development-finance-is-changing/
"Tuesday, November 2, 2021",Future Development,Libya’s migrants and crimes against humanity,https://www.brookings.edu/blog/future-development/2021/11/02/libyas-migrants-and-crimes-against-humanity/
"Wednesday, November 3, 2021",FixGov,5 lessons from election night 2021,https://www.brookings.edu/blog/fixgov/2021/11/03/5-lessons-from-election-night-2021/
"Thursday, November 4, 2021",TechStream,How to measure and regulate the attention costs of consumer technology,https://www.brookings.edu/techstream/how-to-measure-and-regulate-the-attention-costs-of-consumer-technology/
"Thursday, November 4, 2021",Africa in Focus,Accelerating Africa’s green economy transition,https://www.brookings.edu/blog/africa-in-focus/2021/11/04/accelerating-africas-green-economy-transition/
"Thursday, November 4, 2021",Past Event,Stability and inclusivity of stablecoins: A conversation with Circle CEO Jeremy Allaire,
"Friday, November 5, 2021",FixGov,Trump didn’t invent racism; racism invented Trump and other elected hopefuls,https://www.brookings.edu/blog/fixgov/2021/11/05/trump-didnt-invent-racism-racism-invented-trump-and-other-elected-hopefuls/
"Friday, November 5, 2021",External Article,Paying for education and labor market outcomes in a changed world: Reflections from GSG Summit 2021,https://gsgii.org/2021/11/paying-for-education-and-labor-market-outcomes-in-a-changed-world-reflections-from-gsg-summit-2021/
